geoid,geographic_area_name,total_population,total_population_age_under_5_years,total_population_age_5_to_9_years,total_population_age_10_to_14_years,total_population_age_15_to_19_years,total_population_age_20_to_24_years,total_population_age_25_to_29_years,total_population_age_30_to_34_years,total_population_age_35_to_39_years,total_population_age_40_to_44_years,total_population_age_45_to_49_years,total_population_age_50_to_54_years,total_population_age_55_to_59_years,total_population_age_60_to_64_years,total_population_age_65_to_69_years,total_population_age_70_to_74_years,total_population_age_75_to_79_years,total_population_age_80_to_84_years,total_population_age_85_years_and_over,total_population_summary_indicators_median_age_years,total_population_summary_indicators_sex_ratio_males_per_100_females,median_household_income,less_than_10000,10000_to_14999,15000_to_19999,20000_to_24999,25000_to_29999,30000_to_34999,35000_to_39999,40000_to_44999,45000_to_49999,50000_to_59999,60000_to_74999,75000_to_99999,100000_to_124999,125000_to_149999,150000_to_199999,200000_or_more,income_in_the_past_12_months_below_poverty_level,no_schooling_completed,9th_grade,regular_high_school_diploma,ged_or_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years_no_degree,associates_degree,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree,commute_total,car_truck_or_van,public_transport,bus,subway_or_elevated_rail,train_or_commuter_rail,walked,bicycle,motorcycle,other_means,family_households,family_households_other_family,nonfamily_households,hispanic_or_latino,not_hispanic_or_latino,white,black_or_african_american,asian,ZIP,avg_ped,total_vol_7am_8pm,avg_count_7am_8pm,parking_count,target_count,trader_joes_count,whole_foods_count,wegmans_count,aldi_count,station_count
11370,ZCTA5 11370,28762,1320,1232,1573,1410,1765,2396,2438,2065,2707,2286,1705,2193,1884,1244,781,560,531,672,40.3,121.2,74895,510,226,411,280,181,205,313,355,227,715,972,742,1160,714,899,854,2696,1130,164,6351,1053,752,1431,1589,3731,1195,321,70,11000,3951,4808,842,3836,74,544,128,0,59,5797,1638,2967,11206,17556,7808,1912,7229,11370,,,,117.0,,,,,,
11371,ZCTA5 11371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11371,,,,,,,,,,
11372,ZCTA5 11372,66995,3949,3782,3209,2426,3006,3870,5490,5110,5272,5288,4906,5523,4077,3867,2922,2060,1093,1145,42.4,107.8,77133,1021,1033,850,1018,907,804,980,807,781,1630,2576,3462,2212,1664,2570,3069,9920,2174,817,11134,1948,2182,4164,3593,10162,5472,1152,981,33237,6493,17954,1294,16464,196,2722,519,33,595,16256,5769,9128,37023,29972,12158,844,13866,11372,2970.25,,,409.0,,,,,,4.0
11373,ZCTA5 11373,99433,4967,5658,6328,5794,5164,7416,8627,8719,7122,6907,6760,6895,5584,4276,3851,2252,1856,1257,38.3,100.9,71470,1135,1179,1025,1499,913,1125,1599,966,1304,2876,3543,5315,3064,2190,2052,2588,11575,3911,1096,17547,2216,2701,4604,5300,15175,4404,1005,601,50043,10751,30971,3457,27209,292,3667,307,83,482,22951,8019,9422,43153,56280,4854,1507,47737,11373,2994.6666666666665,,,447.0,1.0,0.0,0.0,0.0,0.0,4.0
11374,ZCTA5 11374,46128,2621,2680,2146,2325,1797,3287,3219,3315,3778,3292,2066,3086,2869,2689,2358,1612,1767,1221,42.2,93.2,86333,1432,788,667,638,785,389,563,481,790,968,1484,1954,1768,1747,2376,2673,6557,1247,78,6106,421,1664,2205,3102,10036,5764,1015,691,22294,5564,10847,1459,9380,8,1545,101,39,239,11907,3052,7596,10098,36030,17321,1768,13587,11374,,,,221.0,0.0,1.0,0.0,0.0,1.0,1.0
11375,ZCTA5 11375,75320,3975,3968,4322,2968,2033,4589,6007,5116,5179,5377,5960,5164,5573,4215,3839,2620,2194,2221,44.5,91.7,104319,1755,696,796,1150,759,753,1080,581,503,1823,2492,3458,3835,2670,3824,7042,5928,1429,166,6672,1113,2482,4839,3661,18861,11323,3099,1904,38730,10801,17421,1538,15437,446,2063,121,0,554,19263,4042,13954,12360,62960,35345,1956,21118,11375,1886.3333333333333,,,300.0,1.0,1.0,0.0,0.0,0.0,4.0
11377,ZCTA5 11377,83545,4316,3754,4680,3360,3391,6061,8274,7696,6604,6334,5654,4707,5159,3885,3860,2334,2057,1419,40.2,98.2,73292,1445,1134,778,1317,1348,1547,1328,1203,1156,2371,3383,4810,2917,2108,3094,3432,8961,3964,385,17665,1311,1824,4720,5501,14115,5614,866,579,43024,10650,23095,2314,20271,390,3718,511,95,380,19122,6326,14249,33160,50385,16433,1558,30109,11377,,,,416.0,,,,,,5.0
11378,ZCTA5 11378,37828,2391,1845,2601,2485,2202,2103,2074,2389,2440,2582,3358,2763,3001,1944,1393,1164,542,551,41.5,98.9,84762,618,385,406,345,458,349,331,468,614,911,1055,1341,1359,911,1803,1659,4938,1198,379,7739,880,1347,2986,2034,4651,1893,247,96,17571,8513,6452,2879,3499,57,833,132,97,239,9255,2894,3758,13150,24678,18081,171,5557,11378,,,,287.0,,,,,,
11379,ZCTA5 11379,37378,1381,1812,2320,1950,1648,1880,2414,2149,2211,2959,2543,2834,2856,2758,1998,1323,988,1354,46.7,94.9,92509,485,326,231,598,473,545,486,360,385,833,1037,1705,1510,1016,1682,2225,2694,1085,179,6641,852,1660,2634,2131,6027,3098,471,313,17786,8832,6110,1931,4149,14,507,169,25,263,9644,2760,4253,8692,28686,22786,361,4240,11379,,,,194.0,,,,,,1.0
11385,ZCTA5 11385,103865,5852,5418,5979,5145,7319,9526,10565,8688,7310,6232,7003,6626,5417,4753,3301,1916,1344,1471,36.1,97.0,87365,1571,781,1109,1105,955,1068,1083,1263,1300,2129,3882,5325,4083,2896,4539,4497,11880,2866,931,18027,2932,3864,6022,5930,17180,6515,971,654,53475,15427,26320,4520,21646,120,3090,905,33,408,23851,8845,13735,47199,56666,44167,2644,7152,11385,1395.6666666666667,,,638.0,,,,,,4.0
